Fraud_Type,Transcript
Government Official,Hello Officer Lee Immigration Checkpoints Authority ve discovered discrepancies residency permit Could please provide FIN us verify status
Tech Support,Good day m calling Singtel s Internet Security Department ve identified IP address linked malicious activities assist resolving could share broadband connection details
Banking,Hello Mrs Ong OCBC bank ve noticed irregular activities account marked potential fraud ensure account s security confirm account number
Lottery,Hi congratulations m Chen TOTO Lottery Center ve grand prize draw authenticate identity claim prize could provide verification details
Credit Card,Good day m Mr Tan UOB Credit Card Services detected unusual transaction card today prevent potential fraud need verify details Could please confirm card number
Tax,Hello Ms Wong Inland Revenue Authority Singapore records show unpaid taxes could lead legal action confirm NRIC discuss payment options
Tech Support,Hello m Sam MyRepublic Technical Team ve noticed network used cybercrime activities secure connection could please provide customer ID password
Government Official,Hello Officer Ang Central Provident Fund ve detected issue CPF account security reasons could please verify NRIC account details
Banking,Good day Mr Kumar Citibank detected large international transaction account validate need confirm account details share account number please
Lottery,Hello m happy inform ve lucky draw 4D Lottery facilitate process could please share identification bank details
Banking,Hi Mrs Li HSBC system detected unusual activity account secure account verify account number PIN
Tech Support,Hello m Jack M1 Technical Department found IP address involved suspicious activity Could share account ID help us resolve
Government Official,Good day m Officer Koh Ministry Manpower ve identified error employment pass application provide FIN us correct
Lottery,Hello m Ahmad Singapore Sweep Lottery ve jackpot latest draw provide identification bank details prize processing
Credit Card,Hi Mr Sim POSB Credit Card Services abnormal transaction identified card verify could please confirm card number
Tax,Hello Mr Ganesh Inland Revenue Authority tax filing shows discrepancy may result penalties Could confirm NRIC rectify
Government Official,Hello m Officer Lim Ministry Education seems issue child s school enrollment form verify NRIC details
Banking,Hello Mrs Tan Maybank suspicious withdrawal flagged account protect funds confirm account details
Tech Support,Hi m Raju StarHub Support internet connection appears compromised Could share account number password fix issue
Credit Card,Hello Ms Zainab American Express Services found highvalue transaction card looks fraudulent confirm card number verification
Government Official,Hi m Officer Mohan Ministry Health medical records show anomaly Could confirm NRIC rectify
Tax,Hello m Ms Ng Inland Revenue Authority latest tax filing missing crucial document confirm NRIC discuss
Tech Support,Hi m Kevin ViewQwest Technical Support IP address used illegal activities share customer ID password us resolve
Banking,Hello Mr Chen Standard Chartered Bank account locked due potential fraud verify account number PIN
Lottery,Hi m Siti 4D Lottery ve selected lucky winner Could provide identification bank details prize distribution
Credit Card,Good day m Ms Tan MasterCard Services detected suspicious overseas transaction card Could please confirm card number CVV
Government Official,Hi m Officer Teo Ministry Transport s issue vehicle registration Could provide NRIC us check
Tax,Hello Mr Ravi Inland Revenue Authority system shows might eligible tax rebate Could confirm NRIC process
Tech Support,Hello m Mr Goh SP Telecom detected malware attack network Could share broadband details us secure
Credit Card,Hello Sarah HSBC Credit Card Services detected suspicious charge account Could please confirm credit card number investigate
Tech Support,Hi Mr Lee Singtel ve received system alert regarding internet connection Could share router s serial number help us rectify issue
Government Official,Hello m Officer Singh Ministry Manpower ve identified problem employment record Could verify details providing Work Permit number
Banking,Good day Mr Tan Maybank ve detected irregular withdrawal account Could please confirm account number us verify transaction
Lottery,Hi Ms Chen Singapore Sweep Congratulations ve latest draw claim prize could please provide identification bank details
Tax,Hello Ms Ong Inland Revenue Authority noticed error tax filing Could confirm NRIC number fix issue
Government Official,Hello Officer Lim Ministry Health records indicate discrepancy MediSave account Could please verify NRIC account details
Tech Support,Good day m Mr Kumar StarHub ve received alerts regarding malware attack network Could share broadband connection details help us rectify
Banking,Hello Mrs Ang Standard Chartered Bank ve detected unusual activity savings account Could please confirm account number look
Lottery,Hi Mr Chong Singapore Pools Congratulations ve recent 4D draw claim prize could please provide identification bank account details
Government Official,Good day Officer Wong National Environment Agency ve found problem utility billing Could please confirm account number rectify
Tech Support,Hello m Mr Singh MyRepublic ve identified suspicious activities IP address Could share router s serial number us help resolve issue
Banking,Hi Ms Lee POSB noticed irregular transactions account ensure account s security could please confirm account number
Lottery,Hello Ms Tan TOTO Lottery ve latest draw verify identity claim prize could provide identification details
Credit Card,Hi Mr Chua Citibank Credit Card Services ve detected strange transaction card today prevent potential fraud could please confirm card number
Tax,Hello Mrs Kumar Inland Revenue Authority records show overdue taxes might lead penalties Could confirm NRIC us discuss payment options
Government Official,Good day Officer Chan Ministry Social Family Development ve found error social assistance records Could please verify NRIC account details
Tech Support,Hi Mr Ang M1 Technical Team ve noticed unusual network traffic linked account secure internet connection could provide customer ID password
Tech Support,Hi Mr Ang M1 Technical Team ve noticed unusual network traffic linked account secure internet connection could provide customer ID password
Banking,Hello Mr Yeo United Overseas Bank large international transfer flagged account confirm validity could please share account number
Lottery,Hi Ms Wong Singapore Sweep s lucky day ve latest draw claim winnings could please provide identification bank account details
Credit Card,Good day m Mrs Lim DBS Credit Card Services ve identified suspicious charge account Could please confirm credit card number investigate
Government Official,Hello Officer Koh Ministry Education ve found discrepancies education record Could verify details providing NRIC
Tax,Hello Ms Chua Inland Revenue Authority system shows error tax refund calculation Could confirm NRIC number correct issue
Tech Support,Good day m Mr Toh ViewQwest ve detected malware intrusion network Could please provide broadband connection details help us resolve
Banking,Hi Mrs Chan CIMB Bank ve noticed suspicious transactions account secure account could please confirm account number
Credit Card,Good day Mr Kaur American Express ve noticed highrisk transaction account please confirm credit card details us investigate
Tech Support,Hi m Ms Chong M1 ve detected possible virus network connection Could please share router s serial number patch vulnerability
Government Official,Hello m Officer Leong Land Transport Authority system shows discrepancies vehicle registration Could verify details providing vehicle number
Banking,Hello Mrs Tan Bank China ve detected suspicious fund transfer account Could please confirm account number us validate transaction
Lottery,Hi m Mr Koh Singapore Pools Congratulations ve jackpot draw facilitate transfer winnings could please provide identification bank account details
Tax,Hello Ms Lim Inland Revenue Authority records indicate miscalculation tax returns Could confirm NRIC number rectify issue
Government Official,Good day m Officer Singh Housing Development Board ve identified issue housing grant application Could please verify NRIC account details
Tech Support,Hello m Mr Yeo Singtel Technical Team ve noticed suspicious activities IP address Could provide customer ID password secure internet connection
Banking,Hi Mr Ong ICICI Bank ve noticed irregular deposit account confirm transaction could please share account number
Lottery,Hello m Mrs Chan TOTO Lottery Center s lucky day ve grand prize claim winnings could please provide identification bank account details
Credit Card,Hi Mrs Tham DBS noticed potentially fraudulent charge credit card Could please verify card details assist
Tech Support,Hello Mr Cheung MyRepublic detected potential security breach network Could provide customer ID password aid investigation
Government Official,Good day m Officer Gupta National Environment Agency records indicate issue utility bill payment Could verify details providing account number
Banking,Hi Ms Tay OCBC noticed unusual activity account Could please confirm account number secure account
Lottery,Hello m Mrs Loh Singapore Sweep Congratulations ve latest draw claim prize could provide identification bank account details
Tax,Hi m Mr Sng Inland Revenue Authority seems error tax computation Could confirm NRIC number resolve issue
Government Official,Hello Officer Wong Immigration Checkpoints Authority ve found discrepancies travel records Could please verify NRIC passport details
Tech Support,Good day m Mrs Toh StarHub ve received alerts regarding malware attack network Could share broadband connection details help resolve issue
Banking,Hello Mr Teo HSBC ve detected suspicious wire transfer account validate transaction could please confirm account number
Lottery,Hi Mrs Chia Singapore Pools Good news ve recent 4D draw claim prize could please provide identification bank account details
Credit Card,Hello Mr Tan Citibank detected suspicious activity credit card please confirm card details proceed investigation
Tech Support,Hi Mrs Lee Singtel noticed irregular traffic home network Could please provide customer ID password assist rectifying issue
Government Official,Good day Officer Ho Ministry Health noticed discrepancies medical records Could please provide NRIC verify update records
Banking,Hi Mr Teo Standard Chartered detected unusual transaction account Could please verify account number check secure account
Lottery,Hello m Ms Lim Singapore Pools ve TOTO draw claim prize please provide identification bank account details
Tax,Hi Ms Yeo Inland Revenue Authority noticed error recent tax filing Could please confirm NRIC number proceed correction
Government Official,Hello m Officer Wong Ministry Manpower identified issue work permit application Could please verify NRIC passport details
Tech Support,Good day m Mr Ang StarHub system detected virus home network Could share broadband connection details assist resolving
Banking,Hello Mrs Tan Maybank ve detected suspicious payment request account Could please confirm account number validate transaction
Lottery,Hi m Mrs Neo Singapore Sweep Congratulations ve latest draw Could please provide identification bank account details claim winnings
Credit Card,Hello Mr Chan HSBC noticed unusual charges credit card Could please confirm card details proceed investigation
Tech Support,Hi Mr Goh ViewQwest detected suspicious activity internet connection Could please provide customer ID password assist us resolving
Government Official,Good day Officer Sim Ministry Defence identified discrepancies National Service records Could please verify details providing NRIC
Banking,Hi Ms Koh United Overseas Bank noticed irregular transfer account Could please confirm account number validate secure account
Lottery,Hello m Mr Toh Singapore Pools ve 4D draw facilitate transfer prize please provide identification bank account details
Tax,Hi m Mrs Loh Inland Revenue Authority noticed error tax computation Could please confirm NRIC number proceed rectification
Government Official,Hello m Officer Lim Immigration Checkpoints Authority ve found issues travel records Could please verify NRIC passport details
Tech Support,Good day m Mr Ong Singtel detected potential breach network Could share customer ID password assist securing connection
Banking,Hello Mr Ng DBS ve detected suspicious withdrawal account Could please confirm account number validate transaction
Lottery,Hi m Mrs Tan Singapore Sweep Congratulations ve recent draw Could please provide identification bank account details claim winnings
Credit Card,Hello Mr Tan OCBC detected suspicious activity credit card please confirm card details proceed investigation
Tech Support,Hi Mrs Neo Starhub noticed irregular traffic home network Could please provide customer ID password assist rectifying issue
Government Official,Good day Officer Cheung Ministry Education noticed discrepancies child s school enrollment details Could please provide child s student ID verify update records
Banking,Hi Mr Sim Citibank detected unusual transaction account Could please verify account number check secure account
Lottery,Hello m Ms Chia Singapore Pools ve TOTO draw claim prize please provide identification bank account details
Tax,Hi Ms Tham Inland Revenue Authority noticed error recent tax filing Could please confirm NRIC number proceed correction
Government Official,Hello m Officer Lee Housing Development Board identified issue housing application Could please verify NRIC account details
Tech Support,Good day m Mr Teo MyRepublic system detected virus home network Could share broadband connection details assist resolving
Banking,Hello Mrs Ng Maybank ve detected suspicious payment request account Could please confirm account number validate transaction
Lottery,Hi m Mrs Wong Singapore Sweep Congratulations ve latest draw Could please provide identification bank account details claim winnings
Credit Card,Good day m Mr Wong HSBC Credit Card Services detected suspicious transaction card verify could please confirm card number
Tax,Hello Ms Chen Inland Revenue Authority records indicate discrepancy tax filing Could confirm NRIC rectify
Government Official,Hello m Officer Tan Ministry Manpower ve identified error employment pass application provide FIN us correct
Lottery,Hi congratulations m Li TOTO Lottery Center ve grand prize draw authenticate identity claim prize could provide verification details
Credit Card,Good day m Mr Goh UOB Credit Card Services detected unusual transaction card today prevent potential fraud need verify details Could please confirm card number
Tax,Hello Ms Lee Inland Revenue Authority records show unpaid taxes could lead legal action confirm NRIC discuss payment options
Tech Support,Hello m Sam MyRepublic Technical Team ve noticed network used cybercrime activities secure connection could please provide customer ID password
Government Official,Hello Officer Ang Central Provident Fund ve detected issue CPF account security reasons could please verify NRIC account details
Banking,Good day Mr Kumar Citibank detected large international transaction account validate need confirm account details share account number please
Lottery,Hello m happy inform ve lucky draw 4D Lottery facilitate process could please share identification bank details
Banking,Hi Mrs Li HSBC system detected unusual activity account secure account verify account number PIN
Tech Support,Hello m Jack M1 Technical Department found IP address involved suspicious activity Could share account ID help us resolve
Government Official,Good day m Officer Koh Ministry Manpower ve identified error employment pass application provide FIN us correct
Lottery,Hello m Ahmad Singapore Sweep Lottery ve jackpot latest draw provide identification bank details prize processing
Credit Card,Hi Mr Sim POSB Credit Card Services abnormal transaction identified card verify could please confirm card number
Tax,Hello Mr Ganesh Inland Revenue Authority tax filing shows discrepancy may result penalties Could confirm NRIC rectify
Government Official,Hello m Officer Lim Ministry Education seems issue child s school enrollment form verify NRIC details
Banking,Hello Mrs Tan Maybank suspicious withdrawal flagged account protect funds confirm account details
Tech Support,Hi m Raju StarHub Support internet connection appears compromised Could share account number password fix issue
Credit Card,Hello Ms Zainab American Express Services found highvalue transaction card looks fraudulent confirm card number verification
Government Official,Hi m Officer Mohan Ministry Health medical records show anomaly Could confirm NRIC rectify
Tax,Hello m Ms Ng Inland Revenue Authority latest tax filing missing crucial document confirm NRIC discuss
Tech Support,Hi m Kevin ViewQwest Technical Support IP address used illegal activities share customer ID password us resolve
Government Official,Hello m Officer Lim Ministry Education ve identified discrepancies education record Could verify details providing NRIC
Tax,Hello Ms Chua Inland Revenue Authority system shows error tax refund calculation Could confirm NRIC number correct issue
Tech Support,Good day m Mr Toh ViewQwest ve detected malware intrusion network Could please provide broadband connection details help us resolve
Banking,Hi Mrs Chan CIMB Bank ve noticed suspicious transactions account secure account could please confirm account number
Credit Card,Good day m Mr Kaur American Express ve noticed highrisk transaction account please confirm credit card details us investigate
Tech Support,Hello m Mr Singh MyRepublic ve identified suspicious activities IP address Could provide router s serial number help us rectify issue
Government Official,Good day m Officer Teo Ministry Transport s issue vehicle registration Could provide NRIC us check
Tax,Hello Mr Ravi Inland Revenue Authority system shows might eligible tax rebate Could confirm NRIC process
Tech Support,Hello m Mr Goh SP Telecom detected malware attack network Could share broadband details us secure
Credit Card,Hello Sarah HSBC Credit Card Services detected suspicious charge account Could please confirm credit card number investigate
Tech Support,Hi m Jack Singtel Technical Team received system alert regarding internet connection Could share router s serial number help us rectify issue
Government Official,Hello m Officer Singh Ministry Manpower ve identified problem work permit application Could verify details providing Work Permit number
Banking,Good day Mr Tan Maybank ve detected irregular withdrawal account Could please confirm account number us verify transaction
Lottery,Hi Ms Chen Singapore Sweep Congratulations ve latest draw claim prize could please provide identification bank account details
Tax,Hello Ms Ong Inland Revenue Authority noticed error tax filing Could confirm NRIC number fix issue
Government Official,Hello m Officer Lim Ministry Health records indicate discrepancy MediSave account Couldyou please verify NRIC account details
Tech Support,Good day m Mr Kumar StarHub Technical Support ve detected suspicious activities IP address Could share customer ID password assist resolving
Banking,Hello Mrs Tan Standard Chartered Bank account locked due potential fraud verify account number PIN
Lottery,Hi Mr Chong Singapore Pools Congratulations ve recent 4D draw claim prize could please provide identification bank account details
Credit Card,Hello Ms Zainab DBS Credit Card Services found unauthorized transaction card confirm card number investigation
Government Official,Hi m Officer Ng Ministry Social Family Development seems issue social assistance benefits verify NRIC account details
Tax,Hello Mr Lee Inland Revenue Authority records indicate outstanding tax payments confirm NRIC us discuss payment options
Tech Support,Good day m Mr Lim M1 Technical Team ve detected suspicious activity broadband connection Could share account ID password assist resolving
Government Official,Hello m Officer Wang Immigration Checkpoints Authority ve identified discrepancies travel documents provide NRIC passport details verification
Banking,Hi Mrs Koh OCBC Bank noticed unusual transactions account secure funds confirm account number PIN
Lottery,Hello m Mr Tan TOTO Lottery Center ve substantial prize latest draw process winnings could please provide identification bank details
Credit Card,Hi Ms Chua UOB Credit Card Services detected suspicious transaction card protect account please confirm card number CVV
Tax,Hello Mr Gan Inland Revenue Authority found discrepancies tax return confirm NRIC rectify error
Government Official,Good day m Officer Lim Ministry Manpower ve identified issue employment record resolve could verify FIN number
Tech Support,Hello m Mr Ng Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Tan Maybank ve noticed unauthorized transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day m Mrs Lee POSB Credit Card Services noticed unusual activity card verify please confirm card number CVV
Tax,Hello Mr Lim Inland Revenue Authority records indicate errors tax filing correct please confirm NRIC number
Government Official,Hi m Officer Teo Ministry Education ve found discrepancies educational qualifications verify NRIC academic details
Tech Support,Hello m Mr Goh StarHub Technical Team ve detected malware network provide account ID password assist resolving
Government Official,Good day m Officer Koh Ministry Social Family Development ve identified issues social assistance application verify NRIC account details
Banking,Hello Mr Chong Standard Chartered Bank noticed suspicious activity account protect funds please confirm account number PIN
Lottery,Hi m Mrs Tan Singapore Pools Congratulations ve significant prize latest draw claim winnings please provide identification bank account details
Credit Card,Hello Mr Lim Citibank Credit Card Services detected unauthorized transactions card secure account please confirm card number CVV
Tax,Hi m Mrs Ong Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Tech Support,Hello m Mr Chan ViewQwest Technical Support ve detected suspicious activities broadband connection provide account ID password assist resolving
Government Official,Good day m Officer Ng Ministry Transport ve identified issues vehicle registration verify NRIC vehicle details
Banking,Hi Mr Tan United Overseas Bank noticed unauthorized transactions account secure funds please confirm account number PIN
Lottery,Hello m Ms Chia Singapore Sweep Congratulations ve significant prize latest draw claim winnings please provide identification bank account details
Credit Card,Hi Mr Lee American Express Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mrs Wang Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Good day m Officer Tan Ministry Health ve identified discrepancies medical records verify NRIC medical details
Tech Support,Hello m Mr Koh M1 Technical Team ve detected security breaches network provide account ID password assistance
Government Official,Good day m Officer Lim Ministry Education ve identified issues school enrollment verify NRIC educational details
Banking,Hi Mrs Chen DBS Bank noticed unauthorized transactions account secure funds please confirm account number PIN
Lottery,Hello m Mr Toh Singapore Pools Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day Ms Wong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello MrNg Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Hi m Officer Lim Ministry Manpower ve identified issue work permit application verify FIN number
Tech Support,Hello m Mr Tan Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Ong OCBC Bank noticed unusual transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day m Mrs Lee POSB Credit Card Services noticed unusual activity card verify please confirm card number CVV
Tax,Hello Mr Lim Inland Revenue Authority records indicate errors tax filing correct please confirm NRIC number
Government Official,Hi m Officer Teo Ministry Education ve found discrepancies educational qualifications verify NRIC academic details
Tech Support,Hello m Mr Goh StarHub Technical Team ve detected malware network provide account ID password assist resolving
Government Official,Good day m Officer Koh Ministry Social Family Development ve identified issues social assistance application verify NRIC account details
Banking,Hello Mr Chong Standard Chartered Bank noticed suspicious activity account protect funds please confirm account number PIN
Lottery,Hi m Mrs Tan Singapore Pools Congratulations ve significant prize latest draw claim winnings please provide identification bank account details
Credit Card,Hello Mr Lim Citibank Credit Card Services detected unauthorized transactions card secure account please confirm card number CVV
Tax,Hi m Mrs Ong Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Tech Support,Hello m Mr Chan ViewQwest Technical Support ve detected suspicious activities broadband connection provide account ID password assist resolving
Government Official,Good day m Officer Ng Ministry Transport ve identified issues vehicle registration verify NRIC vehicle details
Banking,Hi Mr Tan United Overseas Bank noticed unauthorized transactions account secure funds please confirm account number PIN
Lottery,Hello m Ms Chia Singapore Sweep Congratulations ve significant prize latest draw claim winnings please provide identification bank account details
Credit Card,Hi Mr Lee American Express Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mrs Wang Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Good day m Officer Tan Ministry Health ve identified discrepancies medical records verify NRIC medical details
Tech Support,Hello m Mr Koh M1 Technical Team ve detected security breaches network provide account ID password assistance
Government Official,Good day m Officer Lim Ministry Education ve identified issues school enrollment verify NRIC educational details
Banking,Hi Mrs Chen DBS Bank noticed unauthorized transactions account secure funds please confirm account number PIN
Lottery,Hello m Mr Toh Singapore Pools Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day Ms Wong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mr Ng Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Hi m Officer Lim Ministry Manpower ve identified issue work permit application verify FIN number
Tech Support,Hello m Mr Tan Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Ong OCBC Bank noticed unusual transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day m Mrs Lee POSB Credit Card Services noticed unusual activity card verify please confirm card number CVV
Tax,Hello Mr Lim Inland Revenue Authority records indicate errors tax filing correct please confirm NRIC number
Government Official,Hi m Officer Teo Ministry Education ve found discrepancies educational qualifications verify NRIC academic details
Tech Support,Hello m Mr Goh StarHub Technical Team ve detected malware network provide account ID password assist resolving
Government Official,Good day m Officer Koh Ministry Social Family Development ve identified issues social assistance application verify NRIC account details
Banking,Hello Mr Chong Standard Chartered Bank noticed suspicious activity account protect funds please confirm account number PIN
Lottery,Hi m Mrs Tan Singapore Pools Congratulations ve significant prize latest draw claim winnings please provide identification bank account details
Credit Card,Hello Mr Lim Citibank Credit Card Services detected unauthorized transactions card secure account please confirm card number CVV
Tax,Hi m Mrs Ong Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Good day m Officer Ng Ministry Transport ve identified issueswith vehicle registration verify NRIC vehicle details
Tech Support,Hello m Mr Chan ViewQwest Technical Support ve detected suspicious activities broadband connection provide account ID password assist resolving
Government Official,Good day m Officer Tan Ministry Health ve identified discrepancies medical records verify NRIC medical details
Banking,Hi Mrs Chen DBS Bank noticed unauthorized transactions account secure funds please confirm account number PIN
Lottery,Hello m Mr Toh Singapore Pools Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day Ms Wong HSBC Credit Card Services detected suspicious activities credit card protect account please confirm card number CVV
Tax,Hello Mr Ng Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
Government Official,Hi m Officer Lim Ministry Manpower ve identified issue work permit application verify FIN number
Tech Support,Hello m Mr Tan Singtel Technical Team ve detected suspicious activities broadband connection provide customer ID password assistance
Banking,Hello Mrs Ong OCBC Bank noticed unusual transactions account secure funds please confirm account number PIN
Lottery,Hi Mr Wong Singapore Sweep Congratulations ve substantial prize latest draw claim winnings please provide identification bank account details
Credit Card,Good day m Mrs Lee POSB Credit Card Services noticed unusual activity card verify please confirm card number CVV
Tax,Hello Mr Lim Inland Revenue Authority records indicate errors tax filing correct please confirm NRIC number
Government Official,Hi m Officer Teo Ministry Education ve found discrepancies educational qualifications verify NRIC academic details
Tech Support,Hello m Mr Goh StarHub Technical Team ve detected malware network provide account ID password assist resolving
Government Official,Good day m Officer Koh Ministry Social Family Development ve identified issues social assistance application verify NRIC account details
Banking,Hello Mr Chong Standard Chartered Bank noticed suspicious activity account protect funds please confirm account number PIN
Lottery,Hi m Mrs Tan Singapore Pools Congratulations ve significant prize latest draw claim winnings please provide identification bank account details
Credit Card,Hello Mr Lim Citibank Credit Card Services detected unauthorized transactions card secure account please confirm card number CVV
Tax,Hi m Mrs Ong Inland Revenue Authority records indicate errors tax filing rectify please confirm NRIC number
